id,open_date,type,P1,P2,P3,P4,P5,P6,P7,P8,revenue
39624,11/26/2009,IL,3,4,6,5,0,5,5,5,12848757
37822,12/16/2009,FC,5,4,5,5,4,1,5,5,14206481
83055,04/04/2008,IL,3,4,2,5,4,25,8,4,6551483
97835,05/07/2010,FC,4,3,1,4,0,4,5,4.5,13111324
63792,05/05/2007,FC,1,7.5,12,10,0,5,5,5,13215088
85184,07/31/2013,IL,4,4,2,5,3,5,10,4,11838978
95677,07/12/2013,FC,5,6,4,5,4,1,4,4.5,14100315
72430,02/26/1998,IL,3,4,4,4,0,5,5,3,12306430
40851,05/18/2011,FC,1,4,4,4,3,4,5,3,12871054
65346,10/15/2011,IL,4,4,3,5,0,5,4,5,13293778
40717,11/08/2013,IL,1,7.5,1,5,3,1,4,7.5,11838590
88865,04/09/2011,FC,5,4,2,5,4,1,5,5,13701357
2929,05/18/1998,IL,5,6,3,5,0,3,4,5,13505611
15523,07/16/2012,FC,5,4,12,10,18,1,10,6,14007423
84953,10/25/2013,FC,10,5,3,5,18,1,4,3,13193489
64748,10/12/2013,FC,5,4,4,10,4,2,4,3,14136563
60323,06/20/2011,FC,3,6,2,5,0,1,4,1.5,13106446
46512,09/08/2010,FC,5,6,5,4,2,2,4,7.5,12073868
17956,03/24/2008,FC,3,4,6,5,18,20,5,4,6371073
16958,12/17/2010,FC,5,4,4,8,4,1,10,2,13896577
29242,11/04/2011,IL,10,4,15,5,0,1,5,4,18509384
16307,11/01/2006,FC,5,4,12,5,3,15,5,3,11498117
8907,11/05/2011,FC,25,5,4,5,5,25,5,5,14815025
68483,12/12/2011,FC,3,4,3,8,0,1,10,5,13632493
10994,06/06/2013,FC,2,6,4,5,18,1,10,7.5,10640013
4049,08/19/2006,IL,4,6,2,5,4,15,5,2,9600389
6531,09/17/2009,FC,1,3,6,5,0,1,8,5,13887878
56779,04/09/2011,FC,2,5,3,5,0,1,5,4,13164082
4537,08/25/2006,FC,3,6,12,5,0,1,4,4,14838245
89708,11/05/2009,IL,15,4,5,5,0,2,5,4,17681165
88398,01/31/2012,IL,10,4,5,5,0,2,5,2,15987860
87189,10/15/2012,FC,5,4,12,5,0,4,5,5,14448154
41819,11/29/2007,FC,5,4,2,5,0,2,4,1,14394521
40860,12/28/2011,FC,3,4,3,10,0,1,4,5,15668361
14850,08/03/2012,FC,5,4,2,5,12,1,5,2,11706643
84665,08/08/2013,IL,3,5,3,5,3,5,5,3,11137967
54087,09/15/2007,FC,1,5,4,10,4,1,5,4,12564965
48429,08/20/2004,IL,3,7.5,2,5,0,3,4,6,12166512
25287,10/05/2010,IL,2,4,1,5,0,5,4,4,11993286
94324,09/13/1999,DT,5,4,5,5,0,1,4,4,15997787
39227,04/08/2010,FC,1,4,4,5,0,15,4,5,9210495
71293,11/12/2010,IL,3,4,12,5,4,5,4,5,12913428
98062,12/21/2012,FC,5,4,4,5,3,2,5,7.5,15165511
89843,06/30/2001,FC,3,3,4,5,0,1,4,6,15126440
8943,11/01/2006,FC,3,4,3,5,0,1,5,3,13936252
24529,04/01/2000,FC,2,4,2,5,0,1,4,5,13172410
38713,03/17/2007,DT,1,4,2,5,24,1,4,5,7403495
25747,10/23/2004,FC,3,4,4,5,5,5,5,5,11970425
41849,12/02/2008,FC,2,5,3,5,3,5,4,5,12175770
54079,07/09/2013,FC,5,4,6,5,0,1,8,5,15471817
37547,07/09/2013,FC,4,4,2,5,0,1,5,5,14381681
49205,08/01/2008,FC,4,2,3,5,0,1,4,4,14257478
23290,11/01/2006,IL,15,4,12,5,4,1,5,5,18879483
16143,03/14/2012,IL,3,3,1,4,0,3,5,5,12170583
54306,08/08/2013,FC,25,4,3,10,3,10,4,5,18318377
29908,03/14/2012,FC,5,4,4,4,0,1,5,5,14959540
52643,03/09/1998,IL,5,4,4,10,3,1,5,7.5,14013199
36867,05/01/2009,FC,20,7.5,2,10,0,1,10,7.5,18219953
88631,12/02/2008,IL,1,4,4,5,0,1,5,5,12650565
61327,11/29/2007,FC,2,4,6,5,0,1,5,6,14853178
41902,11/29/2007,FC,2,5,15,5,0,1,5,2,14374041
